"GEO.id","GEO.id2","GEO.display-label","GCT_STUB.target-geo-id","GEOID","GCT_STUB.display-label","Dense"
"0400000US13",13,"Georgia","0500000US13001",13001,"Appling County",36
"0400000US13",13,"Georgia","0500000US13003",13003,"Atkinson County",24.7
"0400000US13",13,"Georgia","0500000US13005",13005,"Bacon County",42.9
"0400000US13",13,"Georgia","0500000US13007",13007,"Baker County",10.1
"0400000US13",13,"Georgia","0500000US13009",13009,"Baldwin County",177.3
"0400000US13",13,"Georgia","0500000US13011",13011,"Banks County",79.3
"0400000US13",13,"Georgia","0500000US13013",13013,"Barrow County",432.7
"0400000US13",13,"Georgia","0500000US13015",13015,"Bartow County",217.9
"0400000US13",13,"Georgia","0500000US13017",13017,"Ben Hill County",70.5
"0400000US13",13,"Georgia","0500000US13019",13019,"Berrien County",42.7
"0400000US13",13,"Georgia","0500000US13021",13021,"Bibb County",622.8
"0400000US13",13,"Georgia","0500000US13023",13023,"Bleckley County",60.5
"0400000US13",13,"Georgia","0500000US13025",13025,"Brantley County",41.6
"0400000US13",13,"Georgia","0500000US13027",13027,"Brooks County",32.9
"0400000US13",13,"Georgia","0500000US13029",13029,"Bryan County",69.3
"0400000US13",13,"Georgia","0500000US13031",13031,"Bulloch County",104.4
"0400000US13",13,"Georgia","0500000US13033",13033,"Burke County",28.2
"0400000US13",13,"Georgia","0500000US13035",13035,"Butts County",128.3
"0400000US13",13,"Georgia","0500000US13037",13037,"Calhoun County",23.9
"0400000US13",13,"Georgia","0500000US13039",13039,"Camden County",82.4
"0400000US13",13,"Georgia","0500000US13043",13043,"Candler County",45.3
"0400000US13",13,"Georgia","0500000US13045",13045,"Carroll County",221.5
"0400000US13",13,"Georgia","0500000US13047",13047,"Catoosa County",394.3
"0400000US13",13,"Georgia","0500000US13049",13049,"Charlton County",15.7
"0400000US13",13,"Georgia","0500000US13051",13051,"Chatham County",621.7
"0400000US13",13,"Georgia","0500000US13053",13053,"Chattahoochee County",45.3
"0400000US13",13,"Georgia","0500000US13055",13055,"Chattooga County",83
"0400000US13",13,"Georgia","0500000US13057",13057,"Cherokee County",508.3
"0400000US13",13,"Georgia","0500000US13059",13059,"Clarke County",979.1
"0400000US13",13,"Georgia","0500000US13061",13061,"Clay County",16.3
"0400000US13",13,"Georgia","0500000US13063",13063,"Clayton County",1832.5
"0400000US13",13,"Georgia","0500000US13065",13065,"Clinch County",8.5
